Summary,detailed lesson plan,homework,classwork,references,real world scenario,test
overview,lesson schedule,assignment,in-class work,sources,practical example,exam
abstract,teaching plan,task,class assignment,bibliography,real life example,assessment
gist,educational outline,home assignment,class task,citations,case study,quiz
recap,instructional blueprint,take-home work,classroom activity,teaching material,real-world application,evaluation
synopsis,curriculum map,out-of-class task,in-class exercise,reference materials,practical scenario,test paper
outline,lesson guide,study work,class activity,reference sources,real-world situation,examination
digest,lesson framework,home task,class exercise,study sources,practical instance,test
review,course plan,home project,class study,reference books,real life situation,test assessment
summation,teaching strategy,home exercise,class project,bibliographic sources,practical case,testing
compendium,lesson itinerary,home study,class task,reference documents,realistic example,appraisal
condensation,learning roadmap,take-home assignment,classroom task,source materials,practical demonstration,test evaluation
precis,lesson agenda,study assignment,classroom work,reference guides,real-life application,test quiz
wrap-up,teaching outline,homework task,classroom assignment,reference texts,actual example,test examination
abridgment,lesson program,homework project,classroom study,citation sources,practical illustration,test test paper
sketch,lesson scheme,homework assignment,in-class task,teaching references,real-life instance,test appraisal
highlights,educational design,study task,in-class assignment,study references,real-world demonstration,exam assessment
brief,lesson itinerary,homework exercise,in-class activity,citation materials,realistic scenario,exam quiz
compilation,class schedule,homework activity,in-class study,reference works,actual scenario,exam examination
snapshot,learning blueprint,home practice,in-class project,reference listings,real-life case,exam test paper
capsule,curriculum design,homework study,classroom exercise,bibliographic materials,real-world case,exam appraisal
